A multi-resolution flow-net methodology for accountable logging and its application in TCP/IP networks,Bo Fu; Yang Xiao,"Dept. of Comput. Sci., Univ. of Alabama, Tuscaloosa, AL, USA","Communications (ICC), 2014 IEEE International Conference on",20140828,2014,,,683,687,"Today's computer and network systems were not originally designed for accountability which plays a crucial role in information assurance systems. To assure accountability, each entity in the system should be held responsible for its own behaviors so that the entity is part of larger chains of the system's accountability. In this paper, we propose designs of a multiresolution flow-net scheme to achieve multiple degrees of accountability. We apply the multi-resolution flow-net on TCP/IP networks that are designed and organized with multiple layers. Simulation results are presented to verify the performance.",,,,10.1109/ICC.2014.6883398,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6883398,Flow-net;accountability;multi-resolution,Computers;IP networks;Information systems;Internet;Protocols;Security;Simulation,computer networks;transport protocols,TCP/IP networks;computer systems;information assurance systems;multiresolution flow-net methodology;network systems;system accountable logging,,0,,35,,,10-14 June 2014,,IEEE,IEEE Conference Publications
A new head pose estimating algorithm based on a novel feature space for driver assistant systems,"Ghaffari, A.; Rezvan, M.; Khodayari, A.; Sadati, S.H.; Vahidi-Shams, A.","Islamic Azad Univ., Tehran, Iran","Signal and Image Processing Applications (ICSIPA), 2011 IEEE International Conference on",20120202,2011,,,180,185,"This paper introduces a Direct Accountability technique for real-time estimation of head's position and orientation. Unlike existing works which rely on feature extraction either in the image domain or in 3D space, our proposed approach based on expert classifiers ordering estimates the head pose for real-time applications, such as human-machine interaction (HMI) and video-based surveillance systems. In this paper a method for feature extraction is proposed which aims to keep only the angle related features that are independent of identity. Moreover a performance study is provided aiming to evaluate the accuracy of the proposed approach. Experimental results show that the proposed features could describe the pose of driver face image successfully, and have a good performance in real scenes specially for automobile safety and security and driver assistant devices.",,978-1-4577-0243-3,,10.1109/ICSIPA.2011.6144132,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6144132,Driver Behaviours Surveillance;Head pose estimation;Human-Machine Interface;intelligence Automotive Systems,Estimation;Face;Feature extraction;Image edge detection;Magnetic heads;Vehicles,automobiles;driver information systems;feature extraction;image classification;pose estimation;road safety;video surveillance,automobile safety;direct accountability technique;driver assistant system;expert classifier;feature extraction;feature space;head pose estimating algorithm;human-machine interaction;image domain;real-time estimation;security;video-based surveillance system,,0,,22,,,16-18 Nov. 2011,,IEEE,IEEE Conference Publications
A provenance auditing framework for cloud computing systems,"Meera, G.; Geethakumari, G.","BITS Pilani Hyderabad Campus, Hyderabad, India","Signal Processing, Informatics, Communication and Energy Systems (SPICES), 2015 IEEE International Conference on",20150423,2015,,,1,5,"Cloud computing is a service oriented paradigm that aims at sharing resources among a massive number of tenants and users. This sharing facility that it provides coupled with the sheer number of users make cloud environments susceptible to major security risks. Hence, security and auditing of cloud systems is of great relevance. Provenance is a meta-data history of objects which aid in verifiability, accountability and lineage tracking. Incorporating provenance to cloud systems can help in fault detection. This paper proposes a framework which aims at performing secure provenance audit of clouds across applications and multiple guest operating systems. For integrity preservation and verification, we use established cryptographic techniques. We look at it from the cloud service providers' perspective as improving cloud security can result in better trust relations with customers.",,,,10.1109/SPICES.2015.7091427,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7091427,Auditing;Cloud computing;Provenance,Cloud computing;Cryptography;Digital forensics;Monitoring;Virtual machining,auditing;cloud computing;cryptography;data integrity;fault diagnosis;meta data;resource allocation;service-oriented architecture;trusted computing,accountability;cloud computing systems;cloud environments;cloud security;cloud service providers;cryptographic techniques;fault detection;integrity preservation;integrity verification;lineage tracking;metadata history;operating systems;provenance auditing framework;resource sharing;security risks;service oriented paradigm;sharing facility;trust relations;verifiability,,0,,,,,19-21 Feb. 2015,,IEEE,IEEE Conference Publications
A Provenance-Aware Policy Language (cProvl) and a Data Traceability Model (cProv) for the Cloud,"Ali, M.; Moreau, L.","Orange Labs., France Telecom R&D UK Ltd., London, UK","Cloud and Green Computing (CGC), 2013 Third International Conference on",20131219,2013,,,479,486,"Provenance plays a pivotal in tracing the origin of something and determining how and why something had occurred. With the emergence of the cloud and the benefits it encompasses, there has been a rapid proliferation of services being adopted by commercial and government sectors. However, trust and security concerns for such services are on an unprecedented scale. Currently, these services expose very little internal working to their customers, this can cause accountability and compliance issues especially in the event of a fault or error, customers and providers are left to point finger at each other. Provenance-based trace ability provides a mean to address part of this problem by being able to capture and query events occurred in the past to understand how and why it took place. However, due to the complexity of the cloud infrastructure, the current provenance models lack the expressibility required to describe the inner-working of a cloud service. For a complete solution, a provenance-aware policy language is also required for operators and users to define policies for compliance purpose. The current policy standards do not cater for such requirement. To address these issues, in this paper we propose a provenance (trace ability) model cProv, and a provenance-aware policy language (cProvl) to capture trace ability data, and express policies for validating against the model. For implementation, we have extended the XACML3.0 architecture to support provenance, and provided a translator that converts cProvl policy and request into XACML type.",,,,10.1109/CGC.2013.81,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6686073,Prov;XACML;cProv;cProvl;cloud;data traceability;policy language;provenance,Access control;Cloud computing;Computational modeling;Data models;Engines;Standards;Syntactics,XML;authorisation;cloud computing;formal languages,XACML3.0 architecture;cProv;cProvl policy;cloud infrastructure;data traceability model;provenance-aware policy language;provenance-based traceability;translator,,1,,38,,,Sept. 30 2013-Oct. 2 2013,,IEEE,IEEE Conference Publications
A Social Accountability Framework for Computer Networks,"Kang Wang; Malozemoff, A.J.; Ning Jia; Chunhui Han; Maheswaran, M.","Sch. of Comput. Sci., McGill Univ., Montreal, QC, Canada","Global Telecommunications Conference (GLOBECOM 2010), 2010 IEEE",20110110,2010,,,1,6,"We present an accountability framework for the Internet which ties a user''s action to her identity on an online social network. The framework is optional in that users do not need to be accountable at all times, but various web services can force accountability on the part of their users by only allowing accountable users access. Our design is general enough that higher level applications can place additional policies/restrictions on the basic accountability provided. In this paper, we introduce the design, discuss how various applications can be mapped onto our framework, and provide performance numbers from an experimental prototype.",1930-529X,978-1-4244-5636-9,978-1-4244-5637-6,10.1109/GLOCOM.2010.5683341,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5683341,,Electronic mail;IP networks;Internet;Logic gates;Organizations;Protocols;Security,Web services;social networking (online),Internet;Web services;computer networks;online social network;social accountability framework,,0,,18,,,6-10 Dec. 2010,,IEEE,IEEE Conference Publications
A social network model for big data privacy preserving and accountability assurance,"Chunming Gao; Iwane, N.","Sch. of Technol., Michigan Technol. Univ., Houghton, MI, USA","Consumer Communications and Networking Conference (CCNC), 2015 12th Annual IEEE",20150716,2015,,,19,22,"Social networks have become valuable resources of big data exploration for individual users as well as for researchers and commercial organizations. However, how to protect user privacy while assure data credibility at the same time is still a big challenge both in practice and in academic research. This study presents a social network model for the purpose of big data privacy preserving and credibility assurance. In this paper, we discuss the mechanism of the model and present practical implementation designs on achieving the goals. Applications of the model in healthcare social network are also discussed.",2331-9860,978-1-4799-6389-8,,10.1109/CCNC.2015.7157940,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7157940,big data;credibility;network model;privacy;social network,Big data;Conferences;Data models;Data privacy;Medical services;Privacy;Social network services,Big Data;data privacy;health care;social networking (online),Big Data privacy preserving;credibility assurance;healthcare social network model,,,,,,,9-12 Jan. 2015,,IEEE,IEEE Conference Publications
A study on the requirements of accountable cloud services and log management,"Nakahara, S.; Ishimoto, H.","Inf. Sharing Platform Labs., NTT, Tokyo, Japan","Information and Telecommunication Technologies (APSITT), 2010 8th Asia-Pacific Symposium on",20100729,2010,,,1,6,"As services themselves and computer resources of cloud services become increasingly non-local, accountability to users for the results and implementation status of the service have emerged as important issues. This paper gives a detailed overview of what would be required to (1) link log data for multiple services supported by non-local servers and (2) trace cloud-based services, focusing on prevailing web-based cloud services. The paper presents a robust accountability framework and discusses how cryptography could be applied to log data accountability.",,978-1-4244-6413-5,978-4-88552-244-4,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5532290,Accountability;Accountability Framework;Cloud Service;Data Security;Log Management,Application software;Cloud computing;Cryptography;Laboratories;Network servers;Outsourcing;Resource virtualization;Robustness;Service oriented architecture;Web server,Web services;cryptography;network servers,Web-based cloud services;accountable cloud services;cloud-based services tracing;computer resources;cryptography;link log data accountability;log management;nonlocal servers,,2,,10,,,15-18 June 2010,,IEEE,IEEE Conference Publications
A Survey on Cloud Computing Security,"Kanday, R.","Dept. of Comput. Sci. & Applic., Lovely Prof. Univ., Phagwara, India","Computing Sciences (ICCS), 2012 International Conference on",20121224,2012,,,302,311,"Cloud computing is a technology that uses the internet and central remote servers to maintain data and applications. Cloud computing allows consumers and businesses to use applications without installation and access their personal files at any computer with internet access. As it is publicly available the security mechanisms are of highly concern. In this paper, we have given a survey of the different security and application aspects of cloud computing such as confidentiality, integrity, transparency, availability, accountability, assurance.",,978-1-4673-2647-6,,10.1109/ICCS.2012.6,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6391694,accountability;assurance;availability;cloud;confidentiality;integrity;security;transparency,Availability;Cloud computing;Computational modeling;Computer architecture;Security;Servers,Internet;cloud computing;information retrieval;security of data,Internet access;central remote servers;cloud computing security;data maintenance;information availability;information confidentiality;information integrity,,1,,83,,,14-15 Sept. 2012,,IEEE,IEEE Conference Publications
A-COLD: Access Control of Web OLAP over Multi-data Warehouse,"Fugkeaw, S.; Manpanpanich, P.; Juntapremjitt, S.","Thai Digital ID Co., Ltd., Bangkok","Availability, Reliability and Security, 2009. ARES '09. International Conference on",20090605,2009,,,469,474,"This paper proposes the design and development framework of collaborative access control for OLAP queries spanning over multi-data warehouse (DW). The approach is based on PKI Authentication and Privilege Management Infrastructure (PMI); it presents a binding model of DW user identification and privilege of fact and dimensional access. To integrate several security policies from DWs, we employ the XACML policy integration to serve interoperation and authorization management. In our approach, we apply the multi-agent system to automate flexible and effective management of user authentication, role delegation as well as system accountability. Finally, the implementation details of the prototype A-Cold (Access Control of web-OLAP over multiple DWs) is presented to demonstrate our research idea.",,978-1-4244-3572-2,978-0-7695-3564-7,10.1109/ARES.2009.71,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5066511,Collaborative Access Control;Multi-Data Warehouse;PKI;PMI;XACML,Access control;Authentication;Authorization;Availability;Collaboration;Data security;Data warehouses;Databases;Performance analysis;Unified modeling language,Internet;authorisation;data mining;data warehouses;groupware;multi-agent systems;open systems;public key cryptography;query processing,A-COLD prototype;PKI authentication;Web OLAP query;XACML policy;authorization management;collaborative access control framework;interoperation;multi agent system;multi data warehouse;privilege management infrastructure;public key infrastructure,,0,2,7,,,16-19 March 2009,,IEEE,IEEE Conference Publications
Accountability Computing for E-society,Kwei-Jay Lin; Joe Zou; Yan Wang,"Dept. of EECS, Univ. of California Irvine, Irvine, CA, USA","Advanced Information Networking and Applications (AINA), 2010 24th IEEE International Conference on",20100601,2010,,,34,41,"In the business context, accountability has become a major concern for businesses around the world in aftermath of corporate scandals and fallouts. However, accountability has not been rigorously considered in IT system technologies and solutions. The goal of this study is to provide a clear understanding of accountability concept in service-oriented computing and, more generally, e-society. We first outline the general concept of accountability and presents a review on accountability from both management and IT perspective. We also clarify the ambiguity between the accountability concern and other architectural concerns such as security, QoS, trust and reputation.We present an SOA research project, the Llama accountability framework, which is an accountable service delivery infrastructure to support the monitoring, analysis, and reconfiguration of service processes. We believe such a framework will be useful for ensuring better e-services in an e-society.",1550-445X,978-1-4244-6695-5,,10.1109/AINA.2010.167,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5474671,disclosure;liability;nonrepudiation;quality of service;security;service accountability;service-oriented architecture;trust,Acceleration;Computer applications;Computer networks;Displays;Monitoring;Quality of service;Security;Service oriented architecture;USA Councils;Web and internet services,distributed processing;social aspects of automation;software architecture,IT system;Llama accountability framework;QoS;accountability computing;accountable service delivery infrastructure;architectural concerns;business context;corporate scandals;e-society;reputation;security;service analysis;service monitoring;service reconfiguration;service-oriented computing;trust,,6,,28,,,20-23 April 2010,,IEEE,IEEE Conference Publications
Accountability for Abstract Component Design,"Benghabrit, W.; Grall, H.; Royer, J.-C.; Sellami, M.","Mines Nantes, Nantes, France","Software Engineering and Advanced Applications (SEAA), 2014 40th EUROMICRO Conference on",20141120,2014,,,213,220,"The importance of the services-based market, 62.9% of the World gross domestic product (GDP) [1], triggered an increase in the use of software offered on-line as services (SaaS). The use of such software usually implies the flow of personal data on-line between several parties. This can make users reluctant to their use. In this work, we consider this issue at the design-time of the software and we propose some foundations for an accountable software design. Accountability for a software is a property describing, among other aspects, its liability to end-users for the usage of the data it has been entrusted. We propose to enrich software's component design by accountability clauses using an abstract accountability language (AAL). We also define conditions for the well-formedness of an accountable component design and show how they can be checked using a model-checking tool.",,,,10.1109/SEAA.2014.68,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6928814,accountability;component design;model-checking;verification,Abstracts;Data privacy;Law;Process control;Semantics;Software,cloud computing;economic indicators;formal verification;object-oriented programming,AAL;GDP;SaaS;abstract accountability language;accountability clauses;accountable component design;accountable software design;gross domestic product;model checking tool;personal data flow;services-based market;software component design;software liability;software offered on-line as services,,1,,28,,,27-29 Aug. 2014,,IEEE,IEEE Conference Publications
"Accountability for wireless LANs, ad hoc networks, and wireless mesh networks",Yang Xiao,"Univ. of Alabama, Tuscaloosa","Communications Magazine, IEEE",20080403,2008,46,4,116,126,"Accountability is an extremely important issue in computer and network systems. One of the goals of accountability is the capability to trace an event (e.g., the leaking of secure information or an outside attack), even after the event occurred so that the causes can be determined. This article first provides a survey of accountability with a general overview of the topic, using electronic patient records and various computer and network attacks as a model. Then, it describes and analyzes practical framework applications of accountability systems. An insurable network architecture, called A-NET is proposed. Then, an algorithm to achieve true accountable administration is proposed, namely, that an administrator's activities must be accountable. Finally, accountability for wireless LANs, ad hoc networks, and wireless mesh networks are studied.",0163-6804,,,10.1109/MCOM.2008.4481350,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4481350,,Ad hoc networks;Cryptographic protocols;Electronic commerce;Intelligent networks;Programming;Public key cryptography;Smart cards;Wireless LAN;Wireless mesh networks;Wireless sensor networks,ad hoc networks;medical information systems;telecommunication security;telemedicine;wireless LAN,A-NET network architecture;ad hoc network;electronic patient records;network attack;wireless LAN;wireless mesh network,,11,,21,,,April 2008,,IEEE,IEEE Journals & Magazines
