Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Source,EID
"Cherrueau R.-A., Chebaro O., Sudholt M.",Flexible aspect-based service adaptation for accountability properties in the cloud,2013,VariComp 2013 - Proceedings of the 4th International Workshop on Variability and Composition,,,,13,17,,,10.1145/2451617.2451621,http://www.scopus.com/inward/record.url?eid=2-s2.0-84875987333&partnerID=40&md5=ed2a8a4fe3a5dc0ac567fc238bb3b2c3,"ASCOLA Team, INRIA, École des Mines de Nantes, France","Cherrueau, R.-A., ASCOLA Team, INRIA, École des Mines de Nantes, France; Chebaro, O., ASCOLA Team, INRIA, École des Mines de Nantes, France; Südholt, M., ASCOLA Team, INRIA, École des Mines de Nantes, France","Accountability properties, i.e., security and privacy properties for trustworthy data stewardship, are becoming increasingly important for Cloud applications. Frequently, they have to be enforced on large-scale service-based applications. In this paper we argue that real-world service infrastructures are best modeled in terms of three abstraction levels and that (partially invasive) adaptations involving all levels are needed to handle accountability properties. We motivate these issues for the case of secure logging, a basic accountability property of Cloud applications. We propose an initial version of a DSL for flexible and expressive control over the execution of service compositions on the three abstraction levels: service orchestrations, interceptors and service implementations. We also present a corresponding prototype tool and infrastructure for the manipulation of service compositions at all three levels that we have implemented over Apache CXF. Finally, we show how our method can be applied to enable secure logging in previously logging-agnostic applications. Copyright © 2013 ACM.",Accountability; AOP; Gray-box composition; Service composition,Conference Paper,Scopus,2-s2.0-84875987333
"Yuen T.H., Liu J.K., Au M.H., Susilo W., Zhou J.",Efficient Linkable and/or Threshold Ring Signature Without Random Oracles,2013,Computer Journal,56,4,,407,421,,6,10.1093/comjnl/bxs115,http://www.scopus.com/inward/record.url?eid=2-s2.0-84875690586&partnerID=40&md5=84bc514d294b1cd30658ed7607063071,"University of Hong Kong, Hong Kong, Hong Kong; Institute for Infocomm Research, Singapore, Singapore; University of Wollongong, Wollongong, Australia","Yuen, T.H., University of Hong Kong, Hong Kong, Hong Kong; Liu, J.K., Institute for Infocomm Research, Singapore, Singapore; Au, M.H., University of Wollongong, Wollongong, Australia; Susilo, W., University of Wollongong, Wollongong, Australia; Zhou, J., Institute for Infocomm Research, Singapore, Singapore","Linkable ring signatures have found many attractive applications. One of the recent important extensions is a linkable threshold ring signature (LTRS) scheme. Unfortunately, the existing LTRS schemes are only secure in the random oracle model (ROM). In this paper, we make the following contributions. First, we construct the first LTRS scheme that is secure without requiring the ROM. Further, we enhance the security of a threshold ring signature (for both linkable or non-linkable) by providing a stronger definition of anonymity. This strengthened notion makes threshold ring signature schemes more suitable in real life. Finally, we provide efficient schemes that outperform the existing schemes in the literature. Our scheme is particularly suitable for electronic commerce or electronic government where anonymity and accountability are the most concerned factors. © 2012 The Author.",linkable; random oracles; ring signature; threshold,Article,Scopus,2-s2.0-84875690586
"Breaux T.D., Gordon D.G.",Preserving traceability and encoding meaning in legal requirements extraction,2013,"2013 6th International Workshop on Requirements Engineering and Law, RELAW 2013 - Proceedings",,,6671347,57,60,,2,10.1109/RELAW.2013.6671347,http://www.scopus.com/inward/record.url?eid=2-s2.0-84893261800&partnerID=40&md5=2de0051fb4c198459556a5e58e02c175,"Institute for Software Research, Carnegie Mellon University, Pittsburgh, PA, United States; Engineering and Public Policy, Carnegie Mellon University, Pittsburgh, PA, United States","Breaux, T.D., Institute for Software Research, Carnegie Mellon University, Pittsburgh, PA, United States; Gordon, D.G., Engineering and Public Policy, Carnegie Mellon University, Pittsburgh, PA, United States","Information system developers must ensure that their systems comply with government laws and regulations. To demonstrate compliance, developers can trace from statements in law to their system specifications while preserving how they identify and interpret ambiguity. In this paper, we present an application of the legal requirements specification language (LRSL) as a means to encode laws into a machine-readable specification. The encoding reduces ambiguity by making relations between requirements statements explicit. These relations include refinement, pre- and post-conditions, and exceptions that shape the environment in which the developer's system must operate and limiting the behavior of the system to a set of mandatory and discretionary actions. We illustrate the LRSL using a legal excerpt from Health Insurance Portability and Accountability Act (HIPAA) Privacy Rule, §164.512(f) governing disclosures of protected health information to law enforcement in the United States. © 2013 IEEE.",Laws; Privacy; Regulations; Requirements,Conference Paper,Scopus,2-s2.0-84893261800
"Bhole A.T., Rajput S.D.",Ensuring accountability for application sharing in the cloud,2013,"2013 IEEE International Conference on Computational Intelligence and Computing Research, IEEE ICCIC 2013",,,6724146,,,,,10.1109/ICCIC.2013.6724146,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894236861&partnerID=40&md5=c5f35b3cbc0a896718f531bac5d31b6c,"SSBT's College of Engineering and Technology, North Maharashtra University, Jalgaon, India","Bhole, A.T., SSBT's College of Engineering and Technology, North Maharashtra University, Jalgaon, India; Rajput, S.D., SSBT's College of Engineering and Technology, North Maharashtra University, Jalgaon, India","Cloud is a host based network service on the basis of service over internet. When large number of users shares the applications for uploading, downloading and access control, then there will be hazard of fraud access in the network. If accountability is improved, then due to some accountability constraint, system performance reduces. Here we propose the Push Pull key matching algorithm which performs accountability and also improves the performance of system by 56% than existing system. The cloud accountability framework is designed which consist of registration manager, log manager and actual application. Registration manager performs the service level agreement which is done by cloud service provider. When cloud service provider registers, then he gets the key of UID and IP address. Accordingly the log manager built a key and Push this key securely by encryption process. In encryption process, temporal attribute base encryption and advanced encryption standard is used for security purpose. The application filter is used to performing access role of the system. These roles are assigned by cloud service provider after completing service level agreement. © 2013 IEEE.",Accountability; Audit; Cloud service provider; Cloud subscriber; Key matching; Push-pull,Conference Paper,Scopus,2-s2.0-84894236861
"Theoharidou M., Papanikolaou N., Pearson S., Gritzalis D.","Privacy risk, security, accountability in the cloud",2013,"Proceedings of the  International Conference on Cloud Computing Technology and Science, CloudCom",1,,6753795,177,184,,1,10.1109/CloudCom.2013.31,http://www.scopus.com/inward/record.url?eid=2-s2.0-84899746803&partnerID=40&md5=64a768ffd04bc41208220da803812117,"Information Security and Critical Infrastructure Protection Research Laboratory, Department of Informatics, Athens University of Economics and Business, Greece; Security and Cloud Lab, HP Labs, South Africa","Theoharidou, M., Information Security and Critical Infrastructure Protection Research Laboratory, Department of Informatics, Athens University of Economics and Business, Greece; Papanikolaou, N., Security and Cloud Lab, HP Labs, South Africa; Pearson, S., Security and Cloud Lab, HP Labs, South Africa; Gritzalis, D., Information Security and Critical Infrastructure Protection Research Laboratory, Department of Informatics, Athens University of Economics and Business, Greece","Migrating data, applications or services to the cloud exposes a business to a number of new threats and vulnerabilities, which need to be properly assessed. Assessing privacy risk in cloud environments remains a complex challenge, mitigation of this risk requires trusting a cloud service provider to implement suitable privacy controls. Furthermore, auditors and authorities need to be able to hold service providers accountable for their actions, enforcing rules and regulations through penalties and other mechanisms, and ensuring that any problems are remedied promptly and adequately. This paper examines privacy risk assessment for cloud, and identifies threats, vulnerabilities and countermeasures that clients and providers should implement in order to achieve privacy compliance and accountability. © 2013 IEEE.",Accountability; Cloud Computing; Privacy; Risk,Conference Paper,Scopus,2-s2.0-84899746803
"Such J.M., Garcia-Fornes A., Espinosa A., Bellver J.",Magentix2: A privacy-enhancing Agent Platform,2013,Engineering Applications of Artificial Intelligence,26,1,,96,109,,7,10.1016/j.engappai.2012.06.009,http://www.scopus.com/inward/record.url?eid=2-s2.0-84870065709&partnerID=40&md5=f9535533da716a4ce162f4ef4510e22b,"Departament de Sistemes Informàtics i Computació, Universitat Politècnica de València, Camí de Vera s/n, València, Spain","Such, J.M., Departament de Sistemes Informàtics i Computació, Universitat Politècnica de València, Camí de Vera s/n, València, Spain; García-Fornes, A., Departament de Sistemes Informàtics i Computació, Universitat Politècnica de València, Camí de Vera s/n, València, Spain; Espinosa, A., Departament de Sistemes Informàtics i Computació, Universitat Politècnica de València, Camí de Vera s/n, València, Spain; Bellver, J., Departament de Sistemes Informàtics i Computació, Universitat Politècnica de València, Camí de Vera s/n, València, Spain","Agent Platforms are the software that supports the development and execution of Multi-agent Systems. There are many Agent Platforms developed by the agent community, but they hardly consider privacy. This leads to agent-based applications that invade users' privacy. Privacy can be threatened by two main information activities: information collection and information processing. Information collection can be prevented using traditional security mechanisms. Information processing can be prevented by minimizing data identifiability, i.e.; the degree by which personal information can be directly attributed to a particular individual. However, minimizing data identifiability may directly affect other crucial issues in Multi-agent Systems, such as accountability, trust, and reputation. In this paper, we present the support that the Magentix2 Agent Platform provides for preserving privacy. Specifically, it provides mechanisms to avoid information collection and information processing when they are not desired. Moreover, Magentix2 provides these mechanisms without compromising accountability, trust, and reputation. We also provide in this paper an application built on top of Magentix2 that exploits its support for preserving privacy. Finally, we provide an extensive evaluation of the support that Magentix2 provides for preserving privacy based on that application. We specifically test whether or not privacy loss can be minimized by using the support that Magentix2 provides, whether or not this support introduces a bearable performance overhead, and whether or not existing trust and reputation models can be implemented on top of Magentix2. © 2012 Elsevier Ltd. All rights reserved.",Agent Platforms; Multi-agent Systems; Privacy; Reputation; Security; Trust,Article,Scopus,2-s2.0-84870065709
"Paul T., Greschbach B., Buchegger S., Strufe T.",Exploring decentralization dimensions of social networking services: Adversaries and availability,2012,"Proceedings of the 1st ACM International Workshop on Hot Topics on Interdisciplinary Social Networks Research, HotSocial 2012",,,,49,56,,,10.1145/2392622.2392630,http://www.scopus.com/inward/record.url?eid=2-s2.0-84871348269&partnerID=40&md5=7bae15107652c1198e492e840d5c3afd,"TU Darmstadt, CASED, Darmstadt, Germany; KTH Royal Institute of Technology, School of Computer Science and Communications, Stockholm, Sweden","Paul, T., TU Darmstadt, CASED, Darmstadt, Germany; Greschbach, B., KTH Royal Institute of Technology, School of Computer Science and Communications, Stockholm, Sweden; Buchegger, S., KTH Royal Institute of Technology, School of Computer Science and Communications, Stockholm, Sweden; Strufe, T., TU Darmstadt, CASED, Darmstadt, Germany","Current online Social Networking Services (SNS) are organized around a single provider and while storage and functionality can be distributed, the control over the service belongs to one central entity. This structure raises privacy concerns over the handling of large-scale and at least logically centralized collections of user data. In an effort to protect user privacy and decrease provider dependence, decentralization has been proposed for SNS. This decentralization has effects on availability, opportunities for traffic analysis, resource requirements, cooperation and incenctives, trust and accountability for different entities, and performance. In this paper, we explore the spectrum of SNS implementations from centralized to fully decentralized and several hybrid constellations in between. Taking a systematic approach of SNS layers, decentralization classes, and replication strategies, we investigate the design space and focus on two issues as concrete examples where the contrast of extreme ends of the decentralization spectrum is illustrative, namely potential adversaries and churn-related profile availability. In general, our research indicates that hybrid approaches deserve more attention as both centralized as well as entirely decentralized systems suffer from severe drawbacks. © 2012 ACM.",,Conference Paper,Scopus,2-s2.0-84871348269
"Anton P., Munoz A., Mana A.",Authentication and authorization in ambient assisting living applications: An approach for UniversAAL,2012,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),7657 LNCS,,,135,142,,,10.1007/978-3-642-35395-6_19,http://www.scopus.com/inward/record.url?eid=2-s2.0-84870858875&partnerID=40&md5=d4b59e59bc3dc462ef09122a4b539013,"University of Malaga, E.T.S.I. Informatica, 29071 Malaga, Spain","Antón, P., University of Malaga, E.T.S.I. Informatica, 29071 Malaga, Spain; Muñoz, A., University of Malaga, E.T.S.I. Informatica, 29071 Malaga, Spain; Maña, A., University of Malaga, E.T.S.I. Informatica, 29071 Malaga, Spain","In recent years the number of Ambient Intelligent systems is growing steadily, especially several fields such as domotic and remote teaching are practical applications of AmI. A relevant characteristic of these systems is sharing a double goal, comfort and simplicity of final users. However, the adoption of these scenarios lacks of a security basis. We defend that security is an essential feature to deploy in any kind of system. Security in conventional systems is a currently unsolved challenge and new attacks and vulnerabilities of systems arise everyday, in AAL systems the problem is even more complex since whether security challenges are hard in homogeneous solutions these escalate when moving to highly dynamic and heterogeneous systems. Several technical solutions have been proposed for specific security components in AAL systems, but the problem to solve the security of the whole system is still open. We address this problem providing a security architecture for the universAAL infrastructure. Among all the different security properties (trust, authenticity, integrity, confidentiality and accountability) we focus on the authorization and authentication, this paper presents a semantic based access control model for universAAL. © 2012 Springer-Verlag.",,Conference Paper,Scopus,2-s2.0-84870858875
"Siegel J., Perdue J.",Cloud services measures for global use: The Service Measurement Index (SMI),2012,"Annual SRII Global Conference, SRII",,,6311020,411,415,,10,10.1109/SRII.2012.51,http://www.scopus.com/inward/record.url?eid=2-s2.0-84870780664&partnerID=40&md5=e6a003d3e2ec8776dd0c6995ee2b3f88,"Carnegie Mellon University, Silicon Valley, Mountain View, CA, United States","Siegel, J., Carnegie Mellon University, Silicon Valley, Mountain View, CA, United States; Perdue, J., Carnegie Mellon University, Silicon Valley, Mountain View, CA, United States","The Cloud Services Measurement Initiative Consortium (CSMIC) was formed to address the need for industry-wide, globally accepted measures for calculating the benefits and risks of cloud-computing services. A global team is developing a standard measurement framework, called the Service Measurement Index (SMI). SMI involves the application of consistent, meaningful measures that are designed to enable comparison of current cloud-based services with non-cloud services or cloud services available from multiple providers. Cloud Services characteristics where measures are being documented and tested include: Accountability, Agility, Assurance, Financials, Performance, Security and Privacy, and Usability. The SMI will address a total of 51 attributes. Given concerns in the literature and popular press about provider capabilities, cost, security and data privacy and data loss, as well as the flexibility that moving to cloud services promises, this paper provides examples of measures for these attributes. © 2012 IEEE.",Cloud computing services; Cloud performance standards; Measuring cloud services,Conference Paper,Scopus,2-s2.0-84870780664
"Maxwell J.C., Anton A.I., Swire P.",Managing changing compliance requirements by predicting regulatory evolution,2012,"2012 20th IEEE International Requirements Engineering Conference, RE 2012 - Proceedings",,,6345793,101,110,,4,10.1109/RE.2012.6345793,http://www.scopus.com/inward/record.url?eid=2-s2.0-84870707021&partnerID=40&md5=eb186f0baaf81d001f08999fe4b97894,"College of Engineering, North Carolina State University, Raleigh, NC, United States; Allscripts Healthcare Solutions, Raleigh, NC, United States; School of Interactive Computing, Georgia Institute of Technology, Atlanta, GA, United States; Moritz School of Law, Ohio State University, Columbus, OH, United States","Maxwell, J.C., College of Engineering, North Carolina State University, Raleigh, NC, United States, Allscripts Healthcare Solutions, Raleigh, NC, United States; Anton, A.I., School of Interactive Computing, Georgia Institute of Technology, Atlanta, GA, United States; Swire, P., Moritz School of Law, Ohio State University, Columbus, OH, United States","Over time, laws change to meet evolving social needs. Requirements engineers that develop software for regulated domains, such as healthcare or finance, must adapt their software as laws change to maintain legal compliance. In the United States, regulatory agencies will almost always release a proposed regulation, or rule, and accept comments from the public. The agency then considers these comments when drafting a final rule that will be binding on the regulated domain. Herein, we examine how these proposed rules evolve into final rules, and propose an Adaptability Framework. This framework can aid software engineers in predicting what areas of a proposed rule are most likely to evolve, allowing engineers to begin building towards the more stable sections of the rule. We develop the framework through a formative study using the Health Insurance Portability and Accountability (HIPAA) Security Rule and apply it in a summative study on the Health Information Technology: Initial Set of Standards, Implementation Specifications, and Certification Criteria for Electronic Health Record Technology. © 2012 IEEE.",Healthcare IT; Regulatory Compliance; Requirements Engineering; Requirements Evolution,Conference Paper,Scopus,2-s2.0-84870707021
Kanday R.,A survey on cloud computing security,2012,"Proceedings: Turing 100 - International Conference on Computing Sciences, ICCS 2012",,,6391694,302,311,,,10.1109/ICCS.2012.6,http://www.scopus.com/inward/record.url?eid=2-s2.0-84872528165&partnerID=40&md5=d8dafc1a209941673d38acb1d60cde06,"Department of Computer Science and Applications, Lovely Professional University, Phagwara, India","Kanday, R., Department of Computer Science and Applications, Lovely Professional University, Phagwara, India","Cloud computing is a technology that uses the internet and central remote servers to maintain data and applications. Cloud computing allows consumers and businesses to use applications without installation and access their personal files at any computer with internet access. As it is publicly available the security mechanisms are of highly concern. In this paper, we have given a survey of the different security and application aspects of cloud computing such as confidentiality, integrity, transparency, availability, accountability, assurance. © 2012 IEEE.",accountability; assurance; availability; cloud; confidentiality; integrity; security; transparency,Conference Paper,Scopus,2-s2.0-84872528165
"Xu G., Aguilera L., Guan Y.",Accountable anonymity: A proxy re-encryption based anonymous communication system,2012,Proceedings of the International Conference on Parallel and Distributed Systems - ICPADS,,,6413707,109,116,,2,10.1109/ICPADS.2012.25,http://www.scopus.com/inward/record.url?eid=2-s2.0-84874049177&partnerID=40&md5=2ba700069ccfa22d24e5dff0d723de0c,"Department of Electrical and Computer Engineering, Iowa State University, Ames, IA 50011, United States","Xu, G., Department of Electrical and Computer Engineering, Iowa State University, Ames, IA 50011, United States; Aguilera, L., Department of Electrical and Computer Engineering, Iowa State University, Ames, IA 50011, United States; Guan, Y., Department of Electrical and Computer Engineering, Iowa State University, Ames, IA 50011, United States","While several well-developed anonymous services have been made available on-line to protect Internet user's privacy, we have seen that due to the lack of accountability, they have often been exploited by criminals to conduct various illegal activities (e.g., sharing child pornography materials, sending threatening emails, etc.) against innocent people in both cyberspace and physical world. There is an immediate need for building accountability within anonymous systems. In this paper, we show that although accountability appears to be contradictory to and may impair anonymity, it is technically feasible to combine anonymity and accountability into one framework, namely Accountable Anonymity. To our knowledge, this is one of the first attempts trying to achieve both accountability and anonymity. We propose an efficient proxy reencryption based design that allows normal activities to be done in anonymous manner, while keeping malicious/criminal operations accountable at the same time. Formal security analysis and prototype implementation demonstrate that our scheme is not only immune to well-known attacks against anonymity and accountability, but also able to provide non-frameability and confidentiality along with Accountable Anonymity. © 2012 IEEE.",Accountability; Anonymity; Forensics; Incentive-compatible; Proxy reencryption,Conference Paper,Scopus,2-s2.0-84874049177
Kuacharoen P.,Design and Implementation of a Secure Online Lottery System,2012,Communications in Computer and Information Science,344,,,94,105,,,10.1007/978-3-642-35076-4_9,http://www.scopus.com/inward/record.url?eid=2-s2.0-84882253492&partnerID=40&md5=948c2880ad977baa5c4d331354667a59,"Department of Computer Science, Graduate School of Applied Statistics, National Institute of Development Administration, 118 Serithai Rd., Bangkapi, Bangkok, 10240, Thailand","Kuacharoen, P., Department of Computer Science, Graduate School of Applied Statistics, National Institute of Development Administration, 118 Serithai Rd., Bangkapi, Bangkok, 10240, Thailand","Government has the authority to operate lottery schemes. Since the operation of the lottery system is controlled by the government, there are issues with public trust. The people may speculate that the lottery is rigged. This issue becomes critical with an online lottery system since the unprotected data can be easy manipulated. If all combinations which have been sold are known before the drawing, the government may draw winning numbers which pay the least. Moreover, winning tickets may be added after the drawing. As a result, corruption may be inevitable. The government should operate lottery schemes with integrity which include transparency and accountability. This paper presents the design and the implementation of a secure online lottery system. The proposed system can provide accuracy, privacy, transparency, and verifiability. Using the proposed system, the government can operate lottery schemes with integrity. © Springer-Verlag Berlin Heidelberg 2012.",information security; Online lottery system; secure online lottery system,Conference Paper,Scopus,2-s2.0-84882253492
"Lohiya S., Ragha L.",Privacy preserving in data mining using hybrid approach,2012,"Proceedings - 4th International Conference on Computational Intelligence and Communication Networks, CICN 2012",,,6375212,743,746,,1,10.1109/CICN.2012.166,http://www.scopus.com/inward/record.url?eid=2-s2.0-84872015090&partnerID=40&md5=763e598fe047f61ace87d0abb1745a56,"Department of Information Technology, SIES Graduate School of Technology, Navi Mumbai, India; Department of Computer Engineering, Terna Engineering College, Navi Mumbai, India","Lohiya, S., Department of Information Technology, SIES Graduate School of Technology, Navi Mumbai, India; Ragha, L., Department of Computer Engineering, Terna Engineering College, Navi Mumbai, India","Data sharing between two organizations is common in many application areas like business planning or marketing. When data are to be shared between parties, there could be some sensitive data which should not be disclosed to the other parties. Also medical records are more sensitive so, privacy protection is taken more seriously. As per requirement by the Health Insurance Portability and Accountability Act (HIPAA), it is necessary to protect the privacy of patients and ensure the security of the medical data. we propose a method called Hybrid approach for privacy preserving. First we randomizing the original data. Then we apply generalization on randomized or modified data. This technique protect private data with better accuracy, also it can reconstruct original data and provide data with no information loss, makes usability of data. © 2012 IEEE.",Data Mining; k-anonymity; Privacy preserving; quasi-identifier; Sensitive Data,Conference Paper,Scopus,2-s2.0-84872015090
"Umamakeswari A., Vijayalakshmi N., Renugadevi T.",Storage and retrieval of medical images using cloud computing,2012,Journal of Artificial Intelligence,5,4,,207,213,,,10.3923/jai.2012.207.213,http://www.scopus.com/inward/record.url?eid=2-s2.0-84878979432&partnerID=40&md5=d22d47c6b50351992cef247cfac04164,"School of Computing, SASTRA University, Thanjavur, India","Umamakeswari, A., School of Computing, SASTRA University, Thanjavur, India; Vijayalakshmi, N., School of Computing, SASTRA University, Thanjavur, India; Renugadevi, T., School of Computing, SASTRA University, Thanjavur, India","Every year health care organizations craft petabytes of data in terms of patient records, medical images and lab results. The dispute for healthcare facilities is maintaining medical images for enduring access while shielding them in a way that meets Health Information portability and accountability ACT requirements for privacy and disaster recovery. This act needs providers to stock up the data for years and decades. The main focus of the health care organization is about the expenditure of an onsite medical image database. Scalability and safeguarding are the most important concern for the domestic network and health care providers while storing huge amount of medical images. Cloud computing is one of the most inspiring technologies because of its cost effectiveness, elasticity, accessibility and scalability which can be an expected way out for the troubles one faced for stock up the images. Microsoft Windows Azure is one of the platforms in cloud computing used to store flexible images. To hold the client queries, Azure includes a server called Digital Imaging and Communications in Medicine Server Windows Azure will supply this sort of service oriented applications. © 2012 Asian Network for Scientific Information.",Cloud computing; Cloud services; DICOM server; SQL azure; Windows azure,Article,Scopus,2-s2.0-84878979432
Ruane K.A.,Selected federal data security breach legislation,2012,"Data Security Breaches: Notification Laws, Legislation and Identity Theft",,,,31,49,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84897295732&partnerID=40&md5=ffab20831c51ccf7659e3064e18b7ac7,,"Ruane, K.A.","The protection of data, particularly data that can be used to identify individuals, has become an issue of great concern to Congress. There is no comprehensive federal law governing the protection of data held by private actors. Only those entities covered by the Gramm-Leach-Bliley Act, 15 U.S.C. §§6801-6809, (certain financial institutions) and the Health Insurance Portability and Accountability Act (HIPAA), 42 U.S.C. §1320d et seq., and amendments to HIPAA contained in the Health Information Technology for Economic and Clinical Health Act (HITECH Act), P.L. 111-5, (certain health care facilities) are required explicitly by federal law to report data breaches. If private companies have indicated in their privacy policies that they will notify individuals upon a suspected data breach, failure to provide such notification may be considered to be an unfair and deceptive trade practice under Section 5 of the Federal Trade Commission Act (FTC Act). However, the FTC does not explicitly require private actors in possession of data related to individuals to notify individuals or the federal government should a data breach occur. Forty-six states, the District of Columbia, Puerto Rico, and the Virgin Islands have enacted laws requiring notification upon a data security breach involving personal information. However, these laws may vary in their application. They may only apply to certain entities or to certain data. Furthermore, companies maintaining stores of personal data may find it difficult to comply with the potentially different requirements of various state laws. A combination of a lack of a comprehensive federal law addressing security breaches involving personal data and the difficulty industry participants report in complying with various state laws has led Congress to propose a number of bills that would require private actors in possession of personal data to report breaches of that data. The Senate Judiciary Committee recently approved and reported three bills that would create federal standards for data breach notification: S. 1151, the Personal Data Privacy and Security Act of 2011 (Chairman Leahy); S. 1408, the Data Breach Notification Act of 2011 (Senator Feinstein); and S. 1535, the Personal Data Protection and Breach Accountability Act of 2011 (Senator Blumenthal). The bills have similar structures and elements. This chapter will analyze the bills, as reported out of the committee, discussing their similarities and differences. © 2013 by Nova Science Publishers, Inc. All rights reserved.",,Book Chapter,Scopus,2-s2.0-84897295732
"Liu B., Bi J., Yang X.",FaaS: Filtering IP spoofing traffic as a service,2012,Computer Communication Review,42,4,,113,114,,3,10.1145/2377677.2377707,http://www.scopus.com/inward/record.url?eid=2-s2.0-84894530492&partnerID=40&md5=5351201115473bcccfa6f7aaeb89ccb6,"Network Research Center, Tsinghua University, China; Tsinghua National Laboratory, Information Science and Technology, China; Department of Computer Science, Duke University, United States","Liu, B., Network Research Center, Tsinghua University, China, Tsinghua National Laboratory, Information Science and Technology, China; Bi, J., Network Research Center, Tsinghua University, China, Tsinghua National Laboratory, Information Science and Technology, China; Yang, X., Department of Computer Science, Duke University, United States","IP spooling weakens network security and accountability. Although a lot of techniques have been proposed to prevent IP spoofing, most of them are not implemented by device vendors, and the only available anti-spoofing tool in practice is ingress filtering |3|. However, ISPs do not have incentives to deploy ingress filtering as it only prohibits a deployer from sending spoofing traffic, but it hardly protects the deployer from receiving spoofing traffic. Recent research shows that the deployment of ingress filtering hasn't been improved in four years, and the Internet is still vulnerable to IP spoofing [2J. Copyright 2012 ACM.",Economics; Ingress filtering; IP spoofing,Conference Paper,Scopus,2-s2.0-84894530492
"Ma Y., Soehren W., Hawkinson W., Syrstad J.",An enhanced prototype personal inertial navigation system,2012,"25th International Technical Meeting of the Satellite Division of the Institute of Navigation 2012, ION GNSS 2012",2,,,1186,1192+1193a-1193b,,,,http://www.scopus.com/inward/record.url?eid=2-s2.0-84879638626&partnerID=40&md5=9153f72299001fc48ac545140a7b7c51,"Honeywell Labs, 1985 Douglas Drive North, Golden Valley, MN 55422, United States","Ma, Y., Honeywell Labs, 1985 Douglas Drive North, Golden Valley, MN 55422, United States; Soehren, W., Honeywell Labs, 1985 Douglas Drive North, Golden Valley, MN 55422, United States; Hawkinson, W., Honeywell Labs, 1985 Douglas Drive North, Golden Valley, MN 55422, United States; Syrstad, J., Honeywell Labs, 1985 Douglas Drive North, Golden Valley, MN 55422, United States","Numerous pedestrian navigation applications have been proposed, including localization for a coordinating group of firefighters, first responders, or soldiers. A challenging scenario arises in GPS-denied environments when the team operates inside a building, in the urban canyon, underground, in foliage, or under the forest canopy. As an industry leader in navigation technologies, Honeywell has been researching and developing personal navigation equipment. For instance, the DRM™ 4000 is a dead-reckoning system based on the fusion of IMU and compass information. This system is low-cost and capable of GPS-denied navigation in the absence of large magnetic disturbances. Moreover, Honeywell has been developing advanced techniques for aiding personal navigation by estimating displacements using gait models. This paper presents an enhanced Personal Inertial Navigation System (ePINS) solution to the problem of personnel location in GPS-denied environments. The technical approach is based on a strapdown navigation solution maintained using a mid grade IMU and wavelet based motion classification algorithms. This is a follow up of the DARPA SUO SAS and iPINS programs, and is currently being applied to the US Department of Homeland Security (DHS) Geo-spatial Location Accountability and Navigation System for Emergency Responders (GLANSER) and the DARPA Robust Surface Navigation (RSN) programs. The ePINS device can achieve closed path performance of <2% distance traveled for both indoor and outdoor environments. The ePINS consists of a MEMS Inertial Measurement Unit (three gyroscopes and three accelerometers), a barometric pressure sensor, and a GPS receiver. The ePINS algorithms combine inertial navigation, barometric altitude, and wavelet motion classification methods to minimize the errors inherent in sensor-based systems, while achieving the system performance, size, and cost objectives. The motion classification uses a wavelet descriptor based classification on the IMU data and is capable of identifying typical human motion modes, including walking, running, walking upstairs, walking downstairs, stopping, crawling, etc. This process is generic enough to allow new motion types to be added to the classification scheme easily. The step-length model is also described, wherein the step length of each motion as a function of frequency and biometric information of the person (e.g., height). After that, we use an extended Kalman filter update using the step length calculated from the trained model to correct the navigation solution. A heading initialization process is also described, which involves walking a circular path in the presence of GPS.",,Conference Paper,Scopus,2-s2.0-84879638626
