"Information ethics: On the philosophical foundation of computer ethics","Ethics and Information Technology","","1","1","10.1023/A:1010018611096","Luciano Floridi","1999","http://link.springer.com/article/10.1023/A%3A1010018611096","Article"
"Enterprise Network Security-A New Approach","Journal of Network and Systems Management","","7","1","10.1023/A:1018709631284","Vincent J. SkudrnaTseng Ming Lou","1999","http://link.springer.com/article/10.1023/A%3A1018709631284","Article"
"Expansive Visibilization of Work: An Activity-Theoretical Perspective","Computer Supported Cooperative Work (CSCW)","","8","1 - 2","10.1023/A:1008648532192","Yrjö Engeström","1999","http://link.springer.com/article/10.1023/A%3A1008648532192","Article"
"A Survey of Distributed Enterprise Network and Systems Management Paradigms","Journal of Network and Systems Management","","7","1","10.1023/A:1018761615354","Jean-Philippe Martin-FlatinSimon ZnatyJean-Pierre Hubaux","1999","http://link.springer.com/article/10.1023/A%3A1018761615354","Article"
"Editorial","Ethics and Information Technology","","1","1","10.1023/A:1010099404272","Jeroen van den HovenLucas D. IntronaDeborah G. JohnsonHelen Nissenbaum","1999","http://link.springer.com/article/10.1023/A%3A1010099404272","Article"
"Security analysis and design based on a general conceptual security model and UML","High-Performance Computing and Networking","","","","10.1007/BFb0100652","Bernd BlobelPeter PharowFrancis Roger-France","1999","http://link.springer.com/chapter/10.1007/BFb0100652","Chapter"
"Dependability Requirements and Security Architectures for the Healthcare/Medical Sector","Computer Safety, Reliability and Security","","","","10.1007/3-540-48249-0_38","Gilles Trouessin","1999","http://link.springer.com/chapter/10.1007/3-540-48249-0_38","Chapter"
"Electronic Payments: Where Do We Go from Here?","Secure Networking — CQRE [Secure] ’ 99","","","","10.1007/3-540-46701-7_4","Markus JakobssonDavid M’RaihiYiannis TsiounisMoti Yung","1999","http://link.springer.com/chapter/10.1007/3-540-46701-7_4","Chapter"
"Overview of the AT&T Labs Trust-Management Project","Security Protocols","","","","10.1007/3-540-49135-X_8","Joan Feigenbaum","1999","http://link.springer.com/chapter/10.1007/3-540-49135-X_8","Chapter"
"Practice-Oriented Provable-Security","Lectures on Data Security","","","","10.1007/3-540-48969-X_1","Mihir Bellare","1999","http://link.springer.com/chapter/10.1007/3-540-48969-X_1","Chapter"
"Introducing Trusted Third Parties to the Mobile Agent Paradigm","Secure Internet Programming","","","","10.1007/3-540-48749-2_22","Uwe G. WilhelmSebastian StaamannLevente Buttyán","1999","http://link.springer.com/chapter/10.1007/3-540-48749-2_22","Chapter"
"Overview of the AT&T Labs Trust-Management Project","Security Protocols","","","","10.1007/3-540-49135-X_7","Joan Feigenbaum","1999","http://link.springer.com/chapter/10.1007/3-540-49135-X_7","Chapter"
"Broadcast Authentication in Group Communication","Advances in Cryptology - ASIACRYPT’99","","","","10.1007/978-3-540-48000-6_32","Rei Safavi-NainiHuaxiong Wang","1999","http://link.springer.com/chapter/10.1007/978-3-540-48000-6_32","Chapter"
"Abuse-Free Optimistic Contract Signing","Advances in Cryptology — CRYPTO’ 99","","","","10.1007/3-540-48405-1_29","Juan A. GarayMarkus JakobssonPhilip MacKenzie","1999","http://link.springer.com/chapter/10.1007/3-540-48405-1_29","Chapter"
"Integrating Different Signature Purposes in Workflow Systems – A Case Study","Internet Applications","","","","10.1007/978-3-540-46652-9_37","Karl R. P. H. LeungLucas C. K. HuiRicky W. M. Tang","1999","http://link.springer.com/chapter/10.1007/978-3-540-46652-9_37","Chapter"
"Abuse-Free Multi-party Contract Signing","Distributed Computing","","","","10.1007/3-540-48169-9_11","Juan A. GarayPhilip MacKenzie","1999","http://link.springer.com/chapter/10.1007/3-540-48169-9_11","Chapter"
"Impact of Communication on Systems Dependability: Human Factors Perspectives","Computer Safety, Reliability and Security","","","","10.1007/3-540-48249-0_11","Laurence RogninJean-Paul Blanquart","1999","http://link.springer.com/chapter/10.1007/3-540-48249-0_11","Chapter"
"A Multi-agent System for Coordinating International Shipping","Agent Mediated Electronic Commerce","","","","10.1007/3-540-48835-9_6","Steven Y. GoldsmithLaurence R. PhillipsShannon V. Spires","1999","http://link.springer.com/chapter/10.1007/3-540-48835-9_6","Chapter"
"Network Community Design: A Social-Technical Design Circle","Computer Supported Cooperative Work (CSCW)","","7","3 - 4","10.1023/A:1008691222992","Vicki L. O'DayDaniel G. BobrowMark Shirley","1998","http://link.springer.com/article/10.1023/A%3A1008691222992","Article"
"L2imbo: A distributed systems platform for mobile computing","Mobile Networks and Applications","","3","2","10.1023/A:1019116530113","Nigel DaviesAdrian FridayStephen P. WadeGordon S. Blair","1998","http://link.springer.com/article/10.1023/A%3A1019116530113","Article"
"The use of session control in DAVIC to provide interactive multimedia services","BT Technology Journal","","16","2","10.1023/A:1009670015945","R D MilesP W ReeceL Boon","1998","http://link.springer.com/article/10.1023/A%3A1009670015945","Article"
"Professional software engineering education","Annals of Software Engineering","","6","1 - 4","10.1023/A:1018992928313","Peter J. Denning","1998","http://link.springer.com/article/10.1023/A%3A1018992928313","Article"
"Network Communities: Something Old, Something New, Something Borrowed ...","Computer Supported Cooperative Work (CSCW)","","7","1 - 2","10.1023/A:1008688205872","Elizabeth D. MynattVicki L. O'DayAnnette AdlerMizuko Ito","1998","http://link.springer.com/article/10.1023/A%3A1008688205872","Article"
"A Java-based distributed platform for multilateral security","Trends in Distributed Systems for Electronic Commerce","","","","10.1007/BFb0053401","A. PfitzmannA. SchillA. WestfeldG. WickeG. WolfJ. Zöllner","1998","http://link.springer.com/chapter/10.1007/BFb0053401","Chapter"
"Security in data networks","BT Technology Journal","","16","1","10.1023/A:1009672621880","S E Forrester","1998","http://link.springer.com/article/10.1023/A%3A1009672621880","Article"
"Towards formalizing the Java security architecture of JDK 1.2","Computer Security — ESORICS 98","","","","10.1007/BFb0055864","Lora L. KassabSteven J. Greenwald","1998","http://link.springer.com/chapter/10.1007/BFb0055864","Chapter"
"A Security Model for Aglets","Mobile Agents and Security","","","","10.1007/3-540-68671-1_10","Günter KarjothDanny B. LangeMitsuru Oshima","1998","http://link.springer.com/chapter/10.1007/3-540-68671-1_10","Chapter"
"Practice-oriented provable-security","Information Security","","","","10.1007/BFb0030423","Mihir Bellare","1998","http://link.springer.com/chapter/10.1007/BFb0030423","Chapter"
"Secure telemedicine applications","High-Performance Computing and Networking","","","","10.1007/BFb0037261","Despina PolemiAndy Marsh","1998","http://link.springer.com/chapter/10.1007/BFb0037261","Chapter"
"A sound logic for analysing electronic commerce protocols","Computer Security — ESORICS 98","","","","10.1007/BFb0055874","Volker KesslerHeike Neumann","1998","http://link.springer.com/chapter/10.1007/BFb0055874","Chapter"
"MarketNet: Using Virtual Currency to Protect Information Systems","Research and Advanced Technology for Digital Libraries","","","","10.1007/3-540-49653-X_88","Y. YeminiA. DailianasD. Florissi","1998","http://link.springer.com/chapter/10.1007/3-540-49653-X_88","Chapter"
"Curbing junk e-mail via secure classification","Financial Cryptography","","","","10.1007/BFb0055484","E. GabberM. JakobssonY. MatiasA. Mayer","1998","http://link.springer.com/chapter/10.1007/BFb0055484","Chapter"
"System Infrastructure for Digital Libraries: A Survey and Outlook","SOFSEM’ 98: Theory and Practice of Informatics","","","","10.1007/3-540-49477-4_13","Christos NikolaouManolis Marazakis","1998","http://link.springer.com/chapter/10.1007/3-540-49477-4_13","Chapter"
"Organisational considerations for software reuse","Annals of Software Engineering","","5","1","10.1023/A:1018928608749","Andy LynexPaul J. Layzell","1998","http://link.springer.com/article/10.1023/A%3A1018928608749","Article"
"Strategic process in universities: methodology development and information systems support","Education and Information Technologies","","2","4","10.1023/A:1018633801948","JORGE RODRIGUEZ-DIAZJAVIER OSORIO-ACOSTAFRANCISCA ROSA ALAMO-VERA","1997","http://link.springer.com/article/10.1023/A%3A1018633801948","Article"
"An Overview of the TINA Management  Architecture","Journal of Network and Systems Management","","5","4","10.1023/A:1018744927707","Takeo HamadaHiroshi KamataStephanie Hogg","1997","http://link.springer.com/article/10.1023/A%3A1018744927707","Article"
"The potential of information technology in support of teachers and educational managers managing their work environment","Education and Information Technologies","","2","4","10.1023/A:1018625600131","ADRIE VISSCHERPHIL WILD","1997","http://link.springer.com/article/10.1023/A%3A1018625600131","Article"
"Special issue: Interdisciplinary approaches to neural computing","Neural Computing & Applications","","6","4","10.1007/BF01501505","R. J. PaulR. M. MacredieL. P. Baldwin","1997","http://link.springer.com/article/10.1007/BF01501505","Article"
"Book reviews","Publishing Research Quarterly","","13","4","10.1007/s12109-997-0011-2","J. Kendrick NobleJames M. DeckerHerbert S. WhiteMark CarrollJ. James MancusoRobert A. ColbyThomas FenschKenneth WomackRichard AbelJohn TebbelWilliam Baker","1997","http://link.springer.com/article/10.1007/s12109-997-0011-2","Article"
"The nature of virtual organizations and their anticipated social and psychological impacts","Education and Information Technologies","","2","4","10.1023/A:1018685818787","RAYMOND G. TAYLORBORIS W. PELTSVERGERMICHAEL L. VASU","1997","http://link.springer.com/article/10.1023/A%3A1018685818787","Article"
"Books received and capsule reviews","Publishing Research Quarterly","","13","4","10.1007/s12109-997-0012-1","","1997","http://link.springer.com/article/10.1007/s12109-997-0012-1","Article"
"Towards Automated Record Keeping, Interfaces for the Capture of Records of Business Processes","Archives and Museum Informatics","","11","3 - 4","10.1023/A:1009016908807","John Mcdonald","1997","http://link.springer.com/article/10.1023/A%3A1009016908807","Article"
"Bibliography of Electronic Records Research to May of 1997","Archives and Museum Informatics","","11","3 - 4","10.1023/A:1009021009716","Kimberly Barata","1997","http://link.springer.com/article/10.1023/A%3A1009021009716","Article"
"Research: Towards Testable Specificity","Archives and Museum Informatics","","11","3 - 4","10.1023/A:1009056622920","David BearmanJennifer Trant","1997","http://link.springer.com/article/10.1023/A%3A1009056622920","Article"
"Digital Longevity: Policies on Electronic Records in the Netherlands","Archives and Museum Informatics","","11","3 - 4","10.1023/A:1009073026554","Peter Horsman","1997","http://link.springer.com/article/10.1023/A%3A1009073026554","Article"
"Configuration management — keeping it all together","BT Technology Journal","","15","3","10.1023/A:1018682001890","S M Thompson","1997","http://link.springer.com/article/10.1023/A%3A1018682001890","Article"
"Multimedia Applications Development: Experiences","Multimedia Tools and Applications","","4","3","10.1023/A:1009689006959","Nicolas D. Georganas","1997","http://link.springer.com/article/10.1023/A%3A1009689006959","Article"
"Knowledge-based systems in context: A methodological approach to the qualitative issues","AI & SOCIETY","","11","1 - 2","10.1007/BF02812442","Galal H. GalalJanet T. McDonnell","1997","http://link.springer.com/article/10.1007/BF02812442","Article"
"Securing the residential asynchronous transfer mode networks","Security Protocols","","","","10.1007/3-540-62494-5_17","Shaw-Cheng ChuangDavid Greaves","1997","http://link.springer.com/chapter/10.1007/3-540-62494-5_17","Chapter"
"Customer handling intermediate server — an architecture-led project","BT Technology Journal","","15","1","10.1023/A:1018691414669","G Mathieson","1997","http://link.springer.com/article/10.1023/A%3A1018691414669","Article"
"Aglets: Programming mobile agents in Java","Worldwide Computing and Its Applications","","","","10.1007/3-540-63343-X_52","Danny B. LangeMitsuru OshimaGünter KarjothKazuya Kosaka","1997","http://link.springer.com/chapter/10.1007/3-540-63343-X_52","Chapter"
"Fault induction attacks, tamper resistance, and hostile reverse engineering in perspective","Financial Cryptography","","","","10.1007/3-540-63594-7_71","David P. Maher","1997","http://link.springer.com/chapter/10.1007/3-540-63594-7_71","Chapter"
"Democratic key escrow scheme","Information Security and Privacy","","","","10.1007/BFb0027932","Chor Wah ManRei. Safavi-Naini","1997","http://link.springer.com/chapter/10.1007/BFb0027932","Chapter"
"Requirements traceability: Theory and practice","Annals of Software Engineering","","3","1","10.1023/A:1018969401055","Balasubramaniam RameshCurtis StubbsTimothy PowersMichael Edwards","1997","http://link.springer.com/article/10.1023/A%3A1018969401055","Article"
"Host-orientiertes Netz-Audit","Kommunikation in Verteilten Systemen","","","","10.1007/978-3-642-60729-5_4","Birk RichterMichael SobireyHartmut König","1997","http://link.springer.com/chapter/10.1007/978-3-642-60729-5_4","Chapter"
"Voting mechanisms and their implications in a GDSS environment","Annals of Operations Research","","71","0","10.1023/A:1018931801461","Bezalel GavishJohn H. Gerdes","1997","http://link.springer.com/article/10.1023/A%3A1018931801461","Article"
"Item level control and electronic recordkeeping","Archives and Museum Informatics","","10","3","10.1007/BF02802369","David Bearman","1996","http://link.springer.com/article/10.1007/BF02802369","Article"
"Data envelopment analysis applied to quality in primary health care","Annals of Operations Research","","67","1","10.1007/BF02187027","Javier Salinas-JiménezPeter Smith","1996","http://link.springer.com/article/10.1007/BF02187027","Article"
"Understanding variations in hospital costs: An economics perspective","Annals of Operations Research","","67","1","10.1007/BF02187021","Michael D. Rosko","1996","http://link.springer.com/article/10.1007/BF02187021","Article"
"Practical protocols for certified electronic mail","Journal of Network and Systems Management","","4","3","10.1007/BF02139147","Robert H. DengLi GongAurel A. LazarWeiguo Wang","1996","http://link.springer.com/article/10.1007/BF02139147","Article"
"Conforming the government R&D function with the requirements of the government performance and results act","Scientometrics","","36","3","10.1007/BF02129605","E. A. Brown","1996","http://link.springer.com/article/10.1007/BF02129605","Article"
"Coordination mechanisms: Towards a conceptual foundation of CSCW systems design","Computer Supported Cooperative Work (CSCW)","","5","2 - 3","10.1007/BF00133655","Kjeld SchmidtCarla Simonee","1996","http://link.springer.com/article/10.1007/BF00133655","Article"
"Reports","Archives and Museum Informatics","","10","2","10.1007/BF02802364","","1996","http://link.springer.com/article/10.1007/BF02802364","Article"
"State of electronic records management worldwide Spring 1996","Archives and Museum Informatics","","10","1","10.1007/BF02802412","","1996","http://link.springer.com/article/10.1007/BF02802412","Article"
"Teaching collaborative skills with a group leader computer tutor","Education and Information Technologies","","1","1","10.1007/BF00144337","Margaret M. McManusRobert M. Aiken","1996","http://link.springer.com/article/10.1007/BF00144337","Article"
"Securing management systems in the DMF","Managing Information Highways","","","","10.1007/BFb0024337","","1996","http://link.springer.com/chapter/10.1007/BFb0024337","Chapter"
"The changing face of information technology security","Information Security and Privacy","","","","10.1007/BFb0023282","Steve Orlowski","1996","http://link.springer.com/chapter/10.1007/BFb0023282","Chapter"
"Applying the DMF: Personal Mobility — Service Profile Management","Managing Information Highways","","","","10.1007/BFb0024339","","1996","http://link.springer.com/chapter/10.1007/BFb0024339","Chapter"
"Specifying QoS for multimedia communications within distributed programming environments","Multimedia Telecommunications and Applications","","","","10.1007/BFb0020851","Daniel G. WaddingtonGeoff CoulsonDavid Hutchison","1996","http://link.springer.com/chapter/10.1007/BFb0020851","Chapter"
"The PRISM approach to modelling telecommunications management","Managing Information Highways","","","","10.1007/BFb0024335","","1996","http://link.springer.com/chapter/10.1007/BFb0024335","Chapter"
"Applying the DMF: VPN management","Managing Information Highways","","","","10.1007/BFb0024338","","1996","http://link.springer.com/chapter/10.1007/BFb0024338","Chapter"
"Examples of service management","Management of Telecommunication Systems and Services","","","","10.1007/3-540-61578-4_21","","1996","http://link.springer.com/chapter/10.1007/3-540-61578-4_21","Chapter"
"Observations on non-repudiation","Advances in Cryptology — ASIACRYPT '96","","","","10.1007/BFb0034842","Jianying ZhouDieter Gollmann","1996","http://link.springer.com/chapter/10.1007/BFb0034842","Chapter"
"Organisational design for software development: A cybernetic perspective","Software Process Technology","","","","10.1007/BFb0017750","P. KawalekD. G. Wastell","1996","http://link.springer.com/chapter/10.1007/BFb0017750","Chapter"
"Introduction","Management of Telecommunication Systems and Services","","","","10.1007/3-540-61578-4_18","","1996","http://link.springer.com/chapter/10.1007/3-540-61578-4_18","Chapter"
"Information management for integrated design environments","Engineering with Computers","","11","4","10.1007/BF01208816","D. MajumderR. M. RanganR. E. Fulton","1995","http://link.springer.com/article/10.1007/BF01208816","Article"
"Functional requirements for evidence in recordkeeping: Invitational meeting University of Pittsburgh, 1–2 February 1996","Archives and Museum Informatics","","9","4","10.1007/BF02773313","","1995","http://link.springer.com/article/10.1007/BF02773313","Article"
"In-box","Archives and Museum Informatics","","9","3","10.1007/BF02770471","","1995","http://link.springer.com/article/10.1007/BF02770471","Article"
"Book reviews","Minds and Machines","","5","3","10.1007/BF00974753","David L. KemmererKenneth AizawaDonald H. BermanStacey L. EdgarJames E. TomberlinJ. Christopher MaloneyJohn L. BellStuart C. ShapiroGeorges ReyMorton L. SchagrinRobert A. WilsonPatrick J. Hayes","1995","http://link.springer.com/article/10.1007/BF00974753","Article"
"Leaving archival electronic records in institutions: Policy and monitoring arrangements at the National Archives of Canada","Archives and Museum Informatics","","9","2","10.1007/BF02770451","Terry Cook","1995","http://link.springer.com/article/10.1007/BF02770451","Article"
"Knowledge-intensive systems in the social service agency: Anticipated impacts on the organisation","AI & Society","","9","2 - 3","10.1007/BF01210602","William J. Ferns JrProf. Dr. Abbe Mowshowitz","1995","http://link.springer.com/article/10.1007/BF01210602","Article"
"Quantitative studies of science in the eighties indexes to “current bibliographies” 1–17","Scientometrics","","32","3","10.1007/BF02017646","A. Schubert","1995","http://link.springer.com/article/10.1007/BF02017646","Article"
"A review of computer-aided Simultaneous Engineering systems","Research in Engineering Design","","7","1","10.1007/BF01681911","Dr Arturo MolinaAhmed H. Al-AshaabTimothy I. A. EllisRobert I. M. YoungRobert Bell","1995","http://link.springer.com/article/10.1007/BF01681911","Article"
"“Playing for keeps”","Archives and Museum Informatics","","9","1","10.1007/BF02807159","","1995","http://link.springer.com/article/10.1007/BF02807159","Article"
"A TTP-based architecture for TMN security and privacy","Bringing Telecommunication Services to the People — IS&N '95","","","","10.1007/BFb0016956","Dominique MaillotJon ØlnesPål Spilling","1995","http://link.springer.com/chapter/10.1007/BFb0016956","Chapter"
"TMN security: An evolutionary approach","Bringing Telecommunication Services to the People — IS&N '95","","","","10.1007/BFb0016955","G. EnderszT. GabrielssonF. MorastA. BertschH. BunzM. Jurečič","1995","http://link.springer.com/chapter/10.1007/BFb0016955","Chapter"
"Information security concepts in Computer Supported Cooperative Work","Database and Expert Systems Applications","","","","10.1007/BFb0049159","S. TeufelJ. H. P. EloffK. BauknechtD. Karagiannis","1995","http://link.springer.com/chapter/10.1007/BFb0049159","Chapter"
"Programming Satan's computer","Computer Science Today","","","","10.1007/BFb0015258","Ross AndersonRoger Needham","1995","http://link.springer.com/chapter/10.1007/BFb0015258","Chapter"
"Robustness Principles for Public Key Protocols","Advances in Cryptology — CRYPT0’ 95","","","","10.1007/3-540-44750-4_19","Ross AndersonRoger Needham","1995","http://link.springer.com/chapter/10.1007/3-540-44750-4_19","Chapter"
"Dissecting distributed coordination","Distributed Algorithms","","","","10.1007/BFb0022141","Aleta Ricciardi","1995","http://link.springer.com/chapter/10.1007/BFb0022141","Chapter"
"Working meeting on electronic records","Archives and Museum Informatics","","8","4","10.1007/BF02770381","Wendy DuffDavid ThomasDavid Wallace","1994","http://link.springer.com/article/10.1007/BF02770381","Article"
"From high tech to human tech: Empowerment, measurement, and social studies of computing","Computer Supported Cooperative Work (CSCW)","","3","2","10.1007/BF00773446","Philip E. Agre","1994","http://link.springer.com/article/10.1007/BF00773446","Article"
"Heterogeneous learning in the Doppelgänger user modeling system","User Modeling and User-Adapted Interaction","","4","2","10.1007/BF01099429","Jon Orwant","1994","http://link.springer.com/article/10.1007/BF01099429","Article"
"Standards notes","Archives and Museum Informatics","","8","2","10.1007/BF02770331","","1994","http://link.springer.com/article/10.1007/BF02770331","Article"
